Datetime,Forecast
2026-05-08 23:00:00,21.515856234622653
2026-05-09 00:00:00,21.561156763813987
2026-05-09 01:00:00,21.557594435920695
2026-05-09 02:00:00,21.565547830899796
2026-05-09 03:00:00,21.561551485225742
2026-05-09 04:00:00,21.564428719809417
2026-05-09 05:00:00,21.562601154641232
2026-05-09 06:00:00,21.563809772769314
2026-05-09 07:00:00,21.563021089882767
2026-05-09 08:00:00,21.563538006602645
2026-05-09 09:00:00,21.563199699141027
2026-05-09 10:00:00,21.563421217059595
2026-05-09 11:00:00,21.563276193596224
2026-05-09 12:00:00,21.563371142512775
2026-05-09 13:00:00,21.563308979163224
2026-05-09 14:00:00,21.563349677927093
2026-05-09 15:00:00,21.56332303222091
2026-05-09 16:00:00,21.56334047732288
2026-05-09 17:00:00,21.563329055913353
2026-05-09 18:00:00,21.563336533576955
2026-05-09 19:00:00,21.563331637906973
2026-05-09 20:00:00,21.56333484313069
2026-05-09 21:00:00,21.563332744652016
2026-05-09 22:00:00,21.563334118538254
